
2022/08/19 (23:09:39) | ===> btop++ v.1.2.8
2022/08/19 (23:09:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/19 (23:10:05) | ===> btop++ v.1.2.8
2022/08/19 (23:10:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/23 (01:30:00) | ===> btop++ v.1.2.8
2022/08/23 (01:30:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/23 (02:10:48) | ===> btop++ v.1.2.8
2022/08/23 (02:10:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/24 (18:07:16) | ===> btop++ v.1.2.8
2022/08/24 (18:07:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/24 (18:18:05) | ===> btop++ v.1.2.8
2022/08/24 (18:18:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/24 (18:18:13) | ===> btop++ v.1.2.8
2022/08/24 (18:18:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/24 (18:18:43) | ===> btop++ v.1.2.8
2022/08/24 (18:18:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/25 (19:38:44) | ===> btop++ v.1.2.8
2022/08/25 (19:38:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/25 (19:39:27) | ===> btop++ v.1.2.8
2022/08/25 (19:39:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/27 (13:55:47) | ===> btop++ v.1.2.8
2022/08/27 (13:55:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
